0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;20_похожих
Форсаж 6;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);6.993;594736;Furious 6;7;6.2;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Росомаха: Бессмертный;Боевик (Экшен);Фантастика;Супергеройский;Современное кино (2000–2020);6.486;462754;The Wolverine;6.7;6.3;;;;;;;;;;;;;;;;;;;;"Темный рыцарь;Темный рыцарь: Возрождение легенды;Сорвиголова;Мстители: Война бесконечности;Мстители: Финал;Бэтмен: начало;Бэтмен: Начало;Логан;Мстители;Железный человек;Дэдпул;Люди Икс: Первый класс;Первый Мститель: Противостояние;Первый мститель: Противостояние;Человек-паук;Первый мститель: Другая война;Люди Икс;Человек-паук: Вдали от дома;Мстители: Эра Альтрона;Человек-паук: Возвращение домой"
Сумасшедшая езда;Боевик (Экшен);Комедия;Другое;Новинки (2020–2025);5.683;481523;Drive Angry;5.4;5.3;;;;;;;;;;;;;;;;;;;;"Пьяный мастер;Змея в тени орла;Бесстрашная гиена;Городской охотник;Телохранитель жены киллера;Красное уведомление;Неистребимый шпион;Одинок по контракту;На Париж!;Крид: Наследие Рокки;Панчер;Пламя;Восточный ветер. Великий Ураган;Вышка;Мишель Вальян: Жажда скорости;Звериная ярость;Kingsman: Секретная служба;Пьяный мастер 2;Правдивая ложь;Час пик"
Чужое лицо;Боевик (Экшен);Фантастика;Фантастический;Классика (до 2000 года);6.603;1046075;;0;0;;;;;;;;;;;;;;;;;;;;"Хищник;Бегущий человек;Безумный Макс;Армагеддец;Универсальный солдат;Подъем с глубины;Терминатор 2: Судный день;Побег из Лос-Анджелеса;Безумный Макс 2: Воин дороги;Хищник 2;Уличный боец;Универсальный солдат 2: Возвращение;24 часа;24 часа на жизнь;Безумный Макс: Дорога ярости;Живая сталь;Чистилище;Трансформеры;Связь;Хардкор"
Отставник 2;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);6.38;521404;;5.1;0;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва"
Вулкан;Боевик (Экшен);Приключения;Другое;Современное кино (2000–2020);6.664;4607;Volcano;5.6;5.1;;;;;;;;;;;;;;;;;;;;"Посейдон;Доспехи Бога;Восточный ветер. Великий Ураган;Дневной свет;Прыжок богомола;Мишель Вальян: Жажда скорости;Звериная ярость;Большая игра;Доспехи бога 3: Миссия Зодиак;Неудержимые 2;Опасные пассажиры поезда 123;Бродяга Кэнсин;Бесстрашный;Бродяга Кэнсин: Великий киотский пожар;Поезд-беглец;Затойчи;Неуправляемый;Не сдавайся;Подземка;Путь воина"
Честь дракона 2;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);5.406;590640;Tom yum goong 2;5.3;0;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Проект А: Часть 2;Боевик (Экшен);Комедия;Криминальный;Классика (до 2000 года);7.754;22785;«A» gai wak 2;7;6.7;;;;;;;;;;;;;;;;;;;;"Пьяный мастер 2;Час пик;Драконы навсегда;Молодой мастер;Близнецы-драконы;Плохой парень;Телохранитель киллера;Городской охотник;Телохранитель жены киллера;Красное уведомление;Пушки Акимбо;Одинок по контракту;Пьяный мастер;Правдивая ложь;Змея в тени орла;Бесстрашная гиена;Пассажир 57;Другие 48 часов;Леон;Игра смерти"
Огненная стена;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);6.276;81607;Firewall;5.8;4.6;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Пристегните ремни;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);6.744;818210;Allacciate le cinture;6.5;0;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва"
Домино;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);6.766;81682;Domino;5.9;4;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Холодный фронт;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);5.443;861608;;5.4;0;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва"
Защитники;Боевик (Экшен);Фантастика;Супергеройский;Современное кино (2000–2020);2.848;841813;;4.1;4.9;;;;;;;;;;;;;;;;;;;;"Темный рыцарь;Темный рыцарь: Возрождение легенды;Сорвиголова;Мстители: Война бесконечности;Мстители: Финал;Бэтмен: начало;Бэтмен: Начало;Логан;Мстители;Железный человек;Дэдпул;Люди Икс: Первый класс;Первый Мститель: Противостояние;Первый мститель: Противостояние;Человек-паук;Первый мститель: Другая война;Люди Икс;Человек-паук: Вдали от дома;Мстители: Эра Альтрона;Человек-паук: Возвращение домой"
Неоспоримый 3;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);7.751;402614;Undisputed III: Redemption;7.3;5.3;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2;Форсаж"
Телохранитель жены киллера;Боевик (Экшен);Комедия;Криминальный;Новинки (2020–2025);6.855;1125418;Hitman's Wife's Bodyguard;6.1;4.3;;;;;;;;;;;;;;;;;;;;"Городской охотник;Красное уведомление;Одинок по контракту;Пьяный мастер 2;Час пик;Драконы навсегда;Молодой мастер;Близнецы-драконы;Телохранитель киллера;Плохой парень;Пушки Акимбо;Проект А: Часть 2;Неистребимый шпион;Сумасшедшая езда;На Париж!;Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых"
Человек-паук: Возвращение домой;Боевик (Экшен);Фантастика;Супергеройский;Современное кино (2000–2020);7.162;690593;Spider-Man: Homecoming;7.4;7.7;;;;;;;;;;;;;;;;;;;;"Темный рыцарь;Темный рыцарь: Возрождение легенды;Сорвиголова;Мстители: Война бесконечности;Мстители: Финал;Бэтмен: начало;Бэтмен: Начало;Логан;Мстители;Железный человек;Дэдпул;Люди Икс: Первый класс;Первый Мститель: Противостояние;Первый мститель: Противостояние;Человек-паук;Первый мститель: Другая война;Люди Икс;Человек-паук: Вдали от дома;Мстители: Эра Альтрона;Железный человек 3"
Последние рыцари;Боевик (Экшен);Исторический;Военный;Современное кино (2000–2020);6.297;715091;Last Knights;6.2;3.3;;;;;;;;;;;;;;;;;;;;"13 убийц;Шаолинь;Тень;Железный рыцарь;Меч дракона;RRR: Рядом ревет революция;RRR: Рядом ревёт революция;Бродяга Кэнсин;Дом летающих кинжалов;Бродяга Кэнсин: Великий киотский пожар;Затойчи;Братство клинков;300 спартанцев;300 спартанцев: Расцвет империи;Ип Ман;Охотник;Рэмбо IV;Неудержимые;ЗащитнеГ;Скиф"
Чистилище;Боевик (Экшен);Фантастика;Фантастический;Современное кино (2000–2020);7.75;252036;;6.8;0;;;;;;;;;;;;;;;;;;;;"24 часа;24 часа на жизнь;Безумный Макс: Дорога ярости;Живая сталь;Трансформеры;Хардкор;Особо опасен;Столкновение с бездной;Монстры на острове;Смертельная гонка;Трансформеры 2: Месть падших;Трансформеры 3: Темная сторона Луны;Хищники;Форсаж: Хоббс и Шоу;Судная ночь 2;Другой мир: Пробуждение;Геймер;Морской бой;Рэмпейдж;Судный день"
Узники страны призраков;Боевик (Экшен);Фантастика;Фантастический;Новинки (2020–2025);4.709;1015784;Prisoners of the Ghostland;4.2;5.8;;;;;;;;;;;;;;;;;;;;"Связь;Крепость на колесах;Временная петля;Добыча;Годзилла против Конга;Время возмездия;Битва за Землю;G.I. Joe: Бросок кобры. Снейк Айз;Смертельная зона;24 часа;24 часа на жизнь;Безумный Макс: Дорога ярости;Хищник;Живая сталь;Чистилище;Трансформеры;Хардкор;Бегущий человек;Безумный Макс;Армагеддец"
Честь дракона;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);7.137;91818;Tom yum goong;7;5.5;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Годзилла против Конга;Боевик (Экшен);Фантастика;Фантастический;Новинки (2020–2025);6.204;965936;Godzilla vs. Kong;6.3;6.4;;;;;;;;;;;;;;;;;;;;"Связь;Крепость на колесах;Временная петля;Добыча;Время возмездия;Битва за Землю;G.I. Joe: Бросок кобры. Снейк Айз;Смертельная зона;Узники страны призраков;24 часа;24 часа на жизнь;Безумный Макс: Дорога ярости;Хищник;Живая сталь;Чистилище;Трансформеры;Хардкор;Бегущий человек;Безумный Макс;Армагеддец"
Шанхайский перевозчик;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);5.268;986858;Ji zhi zhui ji;4.4;0;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Затойчи;Боевик (Экшен);Исторический;Другое;Современное кино (2000–2020);7.455;113513;Zat?ichi;7;0;;;;;;;;;;;;;;;;;;;;"Бродяга Кэнсин;Бродяга Кэнсин: Великий киотский пожар;Дом летающих кинжалов;13 убийц;Шаолинь;Тень;Братство клинков;Железный рыцарь;Меч дракона;Последние рыцари;Опасные пассажиры поезда 123;Бесстрашный;Поезд-беглец;Неуправляемый;Не сдавайся;Подземка;Путь воина;Никогда не сдавайся 3;Бой с тенью;Разлом Сан-Андреас"
Смертельное оружие 2;Боевик (Экшен);Криминал;Криминальный;Классика (до 2000 года);7.865;8130;Lethal Weapon 2;7.3;6.9;;;;;;;;;;;;;;;;;;;;"Другие 48 часов;Леон;Игра смерти;Крепкий орешек;За пригоршню долларов;Смертельное оружие;Отточенное лезвие;На гребне волны;Черный дождь;Кулак ярости;Путь дракона;Ронин;Обратная тяга;Воздушная тюрьма;Разборка в Бронксе;Большой Босс;Большой босс;Мистер Крутой;Оружие;Харлей Дэвидсон и ковбой Мальборо"
Код доступа «Кейптаун»;Боевик (Экшен);Криминал;Шпионский;Современное кино (2000–2020);6.847;507818;Safe House;6.7;5.7;;;;;;;;;;;;;;;;;;;;"Лузеры;Механик: Воскрешение;Профессионал;Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет"
Темный рыцарь: Возрождение легенды;Боевик (Экшен);Фантастика;Супергеройский;Современное кино (2000–2020);8.168;437410;The Dark Knight Rises;8.4;8;;;;;;;;;;;;;;;;;;;;"Темный рыцарь;Сорвиголова;Мстители: Война бесконечности;Мстители: Финал;Бэтмен: начало;Бэтмен: Начало;Логан;Мстители;Железный человек;Дэдпул;Люди Икс: Первый класс;Первый Мститель: Противостояние;Первый мститель: Противостояние;Человек-паук;Первый мститель: Другая война;Люди Икс;Человек-паук: Вдали от дома;Мстители: Эра Альтрона;Человек-паук: Возвращение домой;Железный человек 3"
Берлинское дело;Боевик (Экшен);Триллер;Шпионский;Новинки (2020–2025);6.592;677498;Bereullin;6.6;5.3;;;;;;;;;;;;;;;;;;;;"Код 355;Миссия: невыполнима 7. Смертельная расплата;Без права на ошибку;Миссия невыполнима: Племя изгоев;Не время умирать;Камуфляж и шпионаж;Игры патриотов;Агент Ева;Запретная миссия;Аксель;Душа шпиона;Агент Эмерсон;Хитмэн: Агент 47;Миротворец;Ультиматум Борна;Казино Рояль;Идентификация Борна;Скала;Превосходство Борна;Система безопасности"
Живая сталь;Боевик (Экшен);Фантастика;Фантастический;Современное кино (2000–2020);7.67;88198;Real Steel;7.1;5.9;;;;;;;;;;;;;;;;;;;;"24 часа;24 часа на жизнь;Безумный Макс: Дорога ярости;Чистилище;Трансформеры;Хардкор;Особо опасен;Столкновение с бездной;Монстры на острове;Смертельная гонка;Трансформеры 2: Месть падших;Трансформеры 3: Темная сторона Луны;Хищники;Форсаж: Хоббс и Шоу;Судная ночь 2;Другой мир: Пробуждение;Геймер;Морской бой;Рэмпейдж;Судный день"
Дом летающих кинжалов;Боевик (Экшен);Исторический;Шпионский;Современное кино (2000–2020);7.766;78170;Shi mian mai fu;7.5;7.7;;;;;;;;;;;;;;;;;;;;"Братство клинков;Бродяга Кэнсин;Бродяга Кэнсин: Великий киотский пожар;13 убийц;Затойчи;Шаолинь;Тень;Железный рыцарь;Меч дракона;Последние рыцари;Хитмэн: Агент 47;Ультиматум Борна;Казино Рояль;Идентификация Борна;Превосходство Борна;Kingsman: Секретная служба;Система безопасности;007: Координаты """"Скайфолл;Большая игра;Миссия невыполнима: Последствия"
Лучший стрелок;Боевик (Экшен);Военный;Военный;Классика (до 2000 года);7.063;7360;Top Gun;7;6.1;;;;;;;;;;;;;;;;;;;;"Рэмбо: Первая кровь;Рэмбо: первая кровь;Серые волки;Коммандос;Рэмбо: Первая кровь 2;Сломанная стрела;Эйр Америка;Легионер;Рэмбо 3;Коммандо;300 спартанцев;300 спартанцев: Расцвет империи;22 мили;Топ Ган: Мэверик;Чистое небо;Мэверик;Восточный Ветер;Контрудар;Охотник;Отряд"
Скорость;Боевик (Экшен);Триллер;Криминальный;Классика (до 2000 года);7.783;1968;Speed;7.3;8.1;;;;;;;;;;;;;;;;;;;;"Пассажир 57;Крепкий орешек 3: Возмездие;Исчезающая точка;Воздушный маршал;Рок;В осаде;Слепая ярость;Внезапная смерть;В западне;Турбулентность;Скорость 2: Контроль над круизом;12 раундов;Гаджини;Стрелок;Иностранец;Через прицел;Стрела. Абсолютное оружие;Код Красный;Белый взрыв;Герой - одиночка"
Крид: Наследие Рокки;Боевик (Экшен);Драма;Другое;Новинки (2020–2025);7.128;782932;Creed;7.6;8;;;;;;;;;;;;;;;;;;;;"Панчер;Пламя;Землетрясение;Вздымающийся ад;Кикбоксер;Не сдавайся;Лучшие из лучших;Подземка;Путь воина;Никогда не сдавайся 3;Бой с тенью;Бой с тенью 3D: Последний раунд;Мастер тай-цзи;Кикбоксер 2: Дорога назад;Запрещенный прием;Ученик мастера;Восточный ветер. Великий Ураган;Вышка;Мишель Вальян: Жажда скорости;Звериная ярость"
Зал самоубийц;Боевик (Экшен);Фантастика;Супергеройский;Современное кино (2000–2020);6.759;577934;Sala samob?jc?w;6.6;0;;;;;;;;;;;;;;;;;;;;"Темный рыцарь;Темный рыцарь: Возрождение легенды;Сорвиголова;Мстители: Война бесконечности;Мстители: Финал;Бэтмен: начало;Бэтмен: Начало;Логан;Мстители;Железный человек;Дэдпул;Люди Икс: Первый класс;Первый Мститель: Противостояние;Первый мститель: Противостояние;Человек-паук;Первый мститель: Другая война;Люди Икс;Человек-паук: Вдали от дома;Мстители: Эра Альтрона;Человек-паук: Возвращение домой"
Железный кулак;Боевик (Экшен);Фантастика;Супергеройский;Современное кино (2000–2020);6.358;817510;Iron Fist;6.4;0;;;;;;;;;;;;;;;;;;;;"Темный рыцарь;Темный рыцарь: Возрождение легенды;Сорвиголова;Мстители: Война бесконечности;Мстители: Финал;Бэтмен: начало;Бэтмен: Начало;Логан;Мстители;Железный человек;Дэдпул;Люди Икс: Первый класс;Первый Мститель: Противостояние;Первый мститель: Противостояние;Человек-паук;Первый мститель: Другая война;Люди Икс;Человек-паук: Вдали от дома;Мстители: Эра Альтрона;Человек-паук: Возвращение домой"
Воздушный маршал;Боевик (Экшен);Триллер;Криминальный;Классика (до 2000 года);7.216;606826;Non-Stop;6.9;5.9;;;;;;;;;;;;;;;;;;;;"Пассажир 57;Крепкий орешек 3: Возмездие;Скорость;Исчезающая точка;Рок;В осаде;Слепая ярость;Внезапная смерть;В западне;Турбулентность;Скорость 2: Контроль над круизом;12 раундов;Гаджини;Стрелок;Иностранец;Через прицел;Стрела. Абсолютное оружие;Код Красный;Белый взрыв;Герой - одиночка"
Скорость 2: Контроль над круизом;Боевик (Экшен);Триллер;Криминальный;Классика (до 2000 года);5.357;6085;Speed 2: Cruise Control;4;3.6;;;;;;;;;;;;;;;;;;;;"Пассажир 57;Крепкий орешек 3: Возмездие;Скорость;Исчезающая точка;Воздушный маршал;Рок;В осаде;Слепая ярость;Внезапная смерть;В западне;Турбулентность;12 раундов;Гаджини;Стрелок;Иностранец;Через прицел;Стрела. Абсолютное оружие;Код Красный;Белый взрыв;Герой - одиночка"
Иностранец;Боевик (Экшен);Триллер;Криминальный;Современное кино (2000–2020);7.309;618287;The Foreigner;7;6;;;;;;;;;;;;;;;;;;;;"12 раундов;Гаджини;Стрелок;Точка невозврата;Допустимые жертвы;Штурм Белого дома;Ниндзя-убийца;Башни-близнецы;Похищенная;Падение Лондона;Крепкий орешек: Хороший день, чтобы умереть;Кайт;Пассажир 57;Крепкий орешек 3: Возмездие;Скорость;Исчезающая точка;Через прицел;Стрела. Абсолютное оружие;Воздушный маршал;Рок"
Акселератка;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);6.321;43440;;5.5;0;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва"
Бессмертная гвардия;Боевик (Экшен);Фантастика;Супергеройский;Новинки (2020–2025);6.313;1178278;The Old Guard;6.7;6.4;;;;;;;;;;;;;;;;;;;;"Чудо-женщина: 1984;Человек-паук: Через вселенные;Человек-паук: Нет пути домой;Лига справедливости Зака Снайдера;Флэш;Черная Вдова;Черепашки-ниндзя: Погром мутантов;Майор Гром;Отряд самоубийц: Миссия навылет;Майор Гром: Чумной Доктор;Удар молнии;Воины света;Черная Пантера: Ваканда навеки;Жил-был Дэдпул;Суперкоманда;Черный Адам;Веном 2;Проект Power;Хищные птицы: Потрясающая история Харли Квинн;Бладшот"
Высший пилотаж;Боевик (Экшен);Военный;Военный;Новинки (2020–2025);6.424;81528;Sky High;6.3;6.6;;;;;;;;;;;;;;;;;;;;"22 мили;Топ Ган: Мэверик;Чистое небо;Мэверик;Восточный Ветер;Контрудар;Отряд;История одного назначения;Не брать живым;Самоволка;72 часа;Выбор цели;Единичка;Король неба;Миссия в Кабуле;Пленница. Побег;Приказано взять живым;Кремень;Русский рейд;Последнее испытание"
Чужой против Хищника;Боевик (Экшен);Фантастика;Фантастический;Современное кино (2000–2020);6.326;41949;AVP: Alien vs. Predator;5.7;4.2;;;;;;;;;;;;;;;;;;;;"24 часа;24 часа на жизнь;Безумный Макс: Дорога ярости;Живая сталь;Чистилище;Трансформеры;Хардкор;Особо опасен;Столкновение с бездной;Монстры на острове;Смертельная гонка;Трансформеры 2: Месть падших;Трансформеры 3: Темная сторона Луны;Хищники;Форсаж: Хоббс и Шоу;Судная ночь 2;Другой мир: Пробуждение;Геймер;Морской бой;Рэмпейдж"
Коготь тигра;Боевик (Экшен);Криминал;Криминальный;Классика (до 2000 года);6.236;4947;Tiger Claws;5.4;0;;;;;;;;;;;;;;;;;;;;"Другие 48 часов;Леон;Игра смерти;Крепкий орешек;За пригоршню долларов;Смертельное оружие;Отточенное лезвие;На гребне волны;Черный дождь;Кулак ярости;Путь дракона;Ронин;Обратная тяга;Воздушная тюрьма;Разборка в Бронксе;Большой Босс;Большой босс;Мистер Крутой;Оружие;Харлей Дэвидсон и ковбой Мальборо"
Неслужебное задание 2: Взрыв на рассвете;Боевик (Экшен);Криминал;Криминальный;Классика (до 2000 года);6.435;394044;;6;0;;;;;;;;;;;;;;;;;;;;"Другие 48 часов;Леон;Игра смерти;Крепкий орешек;За пригоршню долларов;Смертельное оружие;Отточенное лезвие;На гребне волны;Черный дождь;Кулак ярости;Путь дракона;Ронин;Обратная тяга;Воздушная тюрьма;Разборка в Бронксе;Большой Босс;Большой босс;Мистер Крутой;Оружие;Харлей Дэвидсон и ковбой Мальборо"
Геракл;Боевик (Экшен);Фэнтези;Супергеройский;Современное кино (2000–2020);6.023;461958;Hercules;6;5.4;;;;;;;;;;;;;;;;;;;;"Тор: Рагнарёк;Чудо-женщина;Пуленепробиваемый монах;Призрачный гонщик;Хеллбой;Джона Хекс;Шан-Чи и легенда десяти колец;Шан-Чи и легенда Десяти колец;Блэйд;Секретная служба Санта-Клауса;Тор: Любовь и гром;Наруто 9: Путь ниндзя;Воин ветра;Запретное царство;Скиф;Настоящая легенда;Бунраку;Великая стена;Медальон;Царь скорпионов 4: Утерянный трон"
Живи и дай умереть;Боевик (Экшен);Приключения;Шпионский;Классика (до 2000 года);6.856;8872;Live and Let Die;6.7;5.8;;;;;;;;;;;;;;;;;;;;"Осьминожки;На секретной службе ее Величества;Осьминожка;Ниндзя 2;Святой;Большая игра;Королевская регата;Авангард: Арктические волки;Доспехи Бога;Кровавый спорт;Наемник;Великолепная семерка;Дневной свет;Прыжок богомола;В смертельной опасности;Миротворец;Профессионал;Скала;Голдфингер;Враг государства"
Коммандо;Боевик (Экшен);Военный;Военный;Классика (до 2000 года);4.408;1394490;The Commando;3.4;0;;;;;;;;;;;;;;;;;;;;"Рэмбо: Первая кровь;Рэмбо: первая кровь;Серые волки;Коммандос;Лучший стрелок;Рэмбо: Первая кровь 2;Сломанная стрела;Эйр Америка;Легионер;Рэмбо 3;300 спартанцев;300 спартанцев: Расцвет империи;22 мили;Топ Ган: Мэверик;Чистое небо;Мэверик;Восточный Ветер;Контрудар;Охотник;Отряд"
Отточенное лезвие;Боевик (Экшен);Криминал;Криминальный;Классика (до 2000 года);7.693;479;Sling Blade;8;8.4;;;;;;;;;;;;;;;;;;;;"Другие 48 часов;Леон;Игра смерти;Крепкий орешек;За пригоршню долларов;Смертельное оружие;На гребне волны;Черный дождь;Кулак ярости;Путь дракона;Ронин;Обратная тяга;Воздушная тюрьма;Разборка в Бронксе;Большой Босс;Большой босс;Мистер Крутой;Оружие;Харлей Дэвидсон и ковбой Мальборо;Шакал"
План побега;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);7.129;463686;Escape Plan;6.7;5.4;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Игра навылет;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);7.926;565;Sleuth;7.9;8.5;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва;День ангела"
Убийца 2. Против всех;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);7.206;938461;Sicario 2: Soldado;7.1;6.3;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва"
Железный рыцарь;Боевик (Экшен);Исторический;Военный;Современное кино (2000–2020);6.68;415112;Ironclad;6.1;5.2;;;;;;;;;;;;;;;;;;;;"13 убийц;Шаолинь;Тень;Меч дракона;Последние рыцари;RRR: Рядом ревет революция;RRR: Рядом ревёт революция;Бродяга Кэнсин;Дом летающих кинжалов;Бродяга Кэнсин: Великий киотский пожар;Затойчи;Братство клинков;300 спартанцев;300 спартанцев: Расцвет империи;Ип Ман;Охотник;Рэмбо IV;Неудержимые;ЗащитнеГ;Скиф"
Смертельная гонка 2: Франкенштейн жив;Боевик (Экшен);Фантастика;Криминальный;Современное кино (2000–2020);5.999;471614;Death Race 2;5.6;3.9;;;;;;;;;;;;;;;;;;;;"24 часа;24 часа на жизнь;Темный рыцарь;Темный рыцарь: Возрождение легенды;Сорвиголова;Мстители: Война бесконечности;Мстители: Финал;Бэтмен: начало;Бэтмен: Начало;Безумный Макс: Дорога ярости;Логан;Мстители;Железный человек;Дэдпул;Люди Икс: Первый класс;Первый Мститель: Противостояние;Первый мститель: Противостояние;Человек-паук;Первый мститель: Другая война;Люди Икс"
Невероятный Халк;Боевик (Экшен);Фантастика;Супергеройский;Современное кино (2000–2020);6.857;255380;The Incredible Hulk;6.6;6.2;;;;;;;;;;;;;;;;;;;;"Темный рыцарь;Темный рыцарь: Возрождение легенды;Сорвиголова;Мстители: Война бесконечности;Мстители: Финал;Бэтмен: начало;Бэтмен: Начало;Логан;Мстители;Железный человек;Дэдпул;Люди Икс: Первый класс;Первый Мститель: Противостояние;Первый мститель: Противостояние;Человек-паук;Первый мститель: Другая война;Люди Икс;Человек-паук: Вдали от дома;Мстители: Эра Альтрона;Человек-паук: Возвращение домой"
